736041664.0,A Jesus Garcia,ESP,male,10/17/69,1.72,64.0,athletics,0.0,0.0,0.0
532037425.0,A Lam Shin,KOR,female,9/23/86,1.68,56.0,fencing,0.0,0.0,0.0
435962603.0,Aaron Brown,CAN,male,5/27/92,1.98,79.0,athletics,0.0,0.0,1.0
521041435.0,Aaron Cook,MDA,male,1/2/91,1.83,80.0,taekwondo,0.0,0.0,0.0
33922579.0,Aaron Gate,NZL,male,11/26/90,1.81,71.0,cycling,0.0,0.0,0.0
173071782.0,Aaron Royle,AUS,male,1/26/90,1.8,67.0,triathlon,0.0,0.0,0.0
266237702.0,Aaron Russell,USA,male,6/4/93,2.05,98.0,volleyball,0.0,0.0,1.0
382571888.0,Aaron Younger,AUS,male,9/25/91,1.93,100.0,aquatics,0.0,0.0,0.0
87689776.0,Aauri Lorena Bokesa,ESP,female,12/14/88,1.8,62.0,athletics,0.0,0.0,0.0
997877719.0,Ababel Yeshaneh,ETH,female,7/22/91,1.65,54.0,athletics,0.0,0.0,0.0
343694681.0,Abadi Hadis,ETH,male,11/6/97,1.7,63.0,athletics,0.0,0.0,0.0
591319906.0,Abbas Abubakar Abbas,BRN,male,5/17/96,1.75,66.0,athletics,0.0,0.0,0.0
258556239.0,Abbas Qali,IOA,male,10/11/92,,,aquatics,0.0,0.0,0.0
376068084.0,Abbey D'Agostino,USA,female,5/25/92,1.61,49.0,athletics,0.0,0.0,0.0
162792594.0,Abbey Weitzeil,USA,female,12/3/96,1.78,68.0,aquatics,1.0,1.0,0.0
521036704.0,Abbie Brown,GBR,female,4/10/96,1.76,71.0,rugby sevens,0.0,0.0,0.0
149397772.0,Abbos Rakhmonov,UZB,male,7/7/98,1.61,57.0,wrestling,0.0,0.0,0.0
256673338.0,Abbubaker Mobara,RSA,male,2/18/94,1.75,64.0,football,0.0,0.0,0.0
337369662.0,Abby Erceg,NZL,female,11/20/89,1.75,68.0,football,0.0,0.0,0.0
334169879.0,Abd Elhalim Mohamed Abou,EGY,male,6/3/89,2.1,88.0,volleyball,0.0,0.0,0.0
215053268.0,Abdalaati Iguider,MAR,male,3/25/87,1.73,57.0,athletics,0.0,0.0,0.0
763711985.0,Abdalelah Haroun,QAT,male,1/1/97,1.85,80.0,athletics,0.0,0.0,0.0
924593601.0,Abdalla Targan,SUD,male,9/28/96,1.77,65.0,athletics,0.0,0.0,0.0
578032534.0,Abdel Aziz Mehelba,EGY,male,12/10/88,1.76,80.0,shooting,0.0,0.0,0.0
890222258.0,Abdelati El Guesse,MAR,male,2/27/93,1.9,72.0,athletics,0.0,0.0,0.0
803161695.0,Abdelaziz Merzougui,ESP,male,8/30/91,1.75,67.0,athletics,0.0,0.0,0.0
189931373.0,Abdelaziz Mohamed Ahmed,SUD,male,10/12/94,1.81,72.0,aquatics,0.0,0.0,0.0
677622742.0,Abdelghani Demmou,ALG,male,1/29/89,1.85,75.0,football,0.0,0.0,0.0
349871091.0,Abdelhafid Benchabla,ALG,male,9/26/86,1.86,,boxing,0.0,0.0,0.0
904808208.0,Abdelhakim Amokrane,ALG,male,5/10/94,1.86,70.0,football,0.0,0.0,0.0
23564778.0,Abdelkader Chadi,ALG,male,12/12/86,1.78,,boxing,0.0,0.0,0.0
133974151.0,Abdelkadir Salhi,ALG,male,3/19/93,1.85,79.0,football,0.0,0.0,0.0
189886442.0,Abdelkebir Ouaddar,MAR,male,7/15/62,1.74,67.0,equestrian,0.0,0.0,0.0
199516300.0,Abdelkhalek Elbanna,EGY,male,7/4/88,1.93,95.0,rowing,0.0,0.0,0.0
570342175.0,Abdellatif Mohamed Ahmed Mohamed,EGY,male,12/8/95,1.76,120.0,wrestling,0.0,0.0,0.0
517007712.0,Abdelmajid El Hissouf,MAR,male,9/23/92,1.7,56.0,athletics,0.0,0.0,0.0
512730813.0,Abdelmalik Lahoulou,ALG,male,5/7/92,1.77,72.0,athletics,0.0,0.0,0.0
934545704.0,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,10/9/87,1.85,,boxing,0.0,0.0,0.0
514096508.0,Abdelraouf Benguit,ALG,male,4/5/96,1.7,65.0,football,0.0,0.0,0.0
388896171.0,Abderrahmane Benamadi,ALG,male,7/3/85,1.83,90.0,judo,0.0,0.0,0.0
